UNIQUE_EVENT,TARGET_DEPTH
HS201542-RB14,0
HS201542-RB15,0
HS201542-RB16,0
HS201542-RB17,0
HS201542-RB18,0
HS201556-BA01,0
HS201556-BA02,30
HS201556-BA03,0
HS201556-BA04,15
HS201556-BA05,0
HS201556-CS01,0
HS201556-CS02,15
HS201556-CS03,30
HS201556-CS04,45
HS201556-CS05,0
HS201556-CS06,15
HS201556-CS07,0
HS201556-CS08,15
HS201556-CS09,0
HS201556-CS10,15
HS201556-CS11,30
HS201556-CS12,45
HS201556-CS13,0
HS201556-CS14,15
HS201556-CS15,0
HS201556-CS16,15
HS201556-CS17,30
HS201556-CS18,0
HS201556-CS19,30
HS201556-DI01,0
HS201556-DI02,0
HS201556-DI03,0
HS201556-EP02,30
HS201556-EP03,15
HS201556-EP04,30
HS201556-EP05,0
HS201556-EP06,15
HS201556-EP07,0
HS201556-IBC01,0
HS201556-IBC02,15
HS201556-IBC03,30
HS201556-IBC04,0
HS201556-IBC05,15
HS201556-IBC06,0
HS201556-IBC07,0
HS201556-IVI01,0
HS201556-IVI02,0
HS201556-IVI03,0
HS201556-IVI04,0
HS201556-IVI05,15
HS201556-IVI06,15
HS201556-IVI07,0
HS201556-JF01,0
HS201556-JF02,15
HS201556-JF03,0
HS201556-JF04,30
HS201556-JF05,0
HS201556-JS01,0
HS201556-JS02,15
HS201556-KI01,0
HS201556-KI02,0
HS201556-LJS01,0
HS201556-LJS02,15
HS201556-LJS03,0
HS201556-LJS04,15
HS201556-LJS05,0
HS201556-LJS06,15
HS201556-LJS07,0
HS201556-LJS08,0
HS201556-QCSD01,15
HS201556-QCSD02,0
HS201556-QCSD03,30
HS201556-QCSD04,15
HS201556-QCSD05,30
HS201556-QCST01,0
