TRIP_ID,UNIQUE_EVENT,USABLE,TARGET_DEPTH,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,STRATUM,BLOCK,VESSEL_NAME,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,START_BOTTOM_DEPTH,END_BOTTOM_DEPTH,MAX_BOTTOM_DEPTH,MIN_BOTTOM_DEPTH,MODAL_BOTTOM_DEPTH,TOW_LENGTH_MINUTE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DOORSPREAD,MOUTH_OPENING_HEIGHT,MOUTH_OPENING_WIDTH,Mean_Opening_Height,CALC_MOUTH_WIDTH_m,Mean_Headrope_Depth,MODAL_GEAR_DEPTH,NET_DESC,Avg_Height_ship,Avg_Height_rbr,Avg_Width_ship,Avg_Width_calc,Avg_Depth_ship,Avg_Depth_rbr,Avg_Door,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,Door_use,DISTANCE_KM,WIDTH_KM,HEIGHT_KM,MOUTH_KM2,VOLUME_KM3
201778,BCSI-201778-QCSD01,Y,25,11,2,NA,QCSD01,CFV SEACREST,DAY,50.981,-127.852,130,130,NA,NA,NA,20,1.35,NM,NA,12,30,NA,NA,NA,25,CanTrawl 250,12,NA,30,NA,25,NA,NA,12,SHIP,30,SHIP,NA,2.5,0.03,0.012,3.60E-04,9.00E-04
201778,BCSI-201778-QCSD02,Y,0,11,1,NA,QCSD02,CFV SEACREST,DAY,51.001,-127.978,119,128,NA,NA,NA,20,1.41,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.61,0.03,0.012,3.60E-04,9.40E-04
201778,BCSI-201778-QCSD03,Y,15,111,NA,NA,QCSD03,CFV SEACREST,DAY,50.994,-128.098,90,100,NA,NA,NA,20,1.37,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.54,0.03,0.012,3.60E-04,9.14E-04
201778,BCSI-201778-QCSD04,Y,30,111,NA,NA,QCSD04,CFV SEACREST,DAY,51.034,-128.214,148,129,NA,NA,NA,20,1.63,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,3.02,0.03,0.012,3.60E-04,0.0010872
201778,BCSI-201778-QCSD06,Y,15,111,NA,NA,QCSD06,CFV SEACREST,DAY,51.017,-128.429,104,101,NA,NA,NA,20,1.38,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.56,0.03,0.012,3.60E-04,9.22E-04
201778,BCSI-201778-QCSD07,Y,0,111,NA,NA,QCSD07,CFV SEACREST,DAY,51.005,-128.523,89,79,NA,NA,NA,20,1.32,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.44,0.03,0.012,3.60E-04,8.78E-04
201778,BCSI-201778-QCSD08,Y,15,111,NA,NA,QCSD08,CFV SEACREST,DAY,50.969,-128.588,66,60,NA,NA,NA,20,1.25,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.32,0.03,0.012,3.60E-04,8.35E-04
201778,BCSI-201778-QCSD09,Y,0,111,NA,NA,QCSD09,CFV SEACREST,DAY,50.973,-128.68,69,63,NA,NA,NA,20,1.5,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.78,0.03,0.012,3.60E-04,0.0010008
201778,BCSI-201778-QCSD10,Y,30,111,NA,NA,QCSD10,CFV SEACREST,DAY,51.074,-128.615,95,113,NA,NA,NA,20,1.31,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.43,0.03,0.012,3.60E-04,8.75E-04
201778,BCSI-201778-QCSD11,Y,15,111,NA,NA,QCSD11,CFV SEACREST,DAY,51.174,-128.564,180,195,NA,NA,NA,20,1.38,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.56,0.03,0.012,3.60E-04,9.22E-04
201778,BCSI-201778-QCSD12,Y,0,110,NA,NA,QCSD12,CFV SEACREST,DAY,51.267,-128.537,183,130,NA,NA,NA,20,1.35,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.5,0.03,0.012,3.60E-04,9.00E-04
201778,BCSI-201778-QCSD13,Y,30,110,NA,NA,QCSD13,CFV SEACREST,DAY,51.346,-128.462,162,153,NA,NA,NA,20,1.38,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.56,0.03,0.012,3.60E-04,9.22E-04
201778,BCSI-201778-QCSD14,Y,15,109,NA,NA,QCSD14,CFV SEACREST,DAY,51.434,-128.394,164,174,NA,NA,NA,20,1.37,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.54,0.03,0.012,3.60E-04,9.14E-04
201778,BCSI-201778-QCSD15,Y,0,108,1,NA,QCSD15,CFV SEACREST,DAY,51.523,-128.334,163,158,NA,NA,NA,23,1.57,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.91,0.03,0.012,3.60E-04,0.0010476
201778,BCSI-201778-QCSD16,Y,30,108,1,NA,QCSD16,CFV SEACREST,DAY,51.598,-128.263,144,120,NA,NA,NA,19,1.24,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.3,0.03,0.012,3.60E-04,8.28E-04
