UNIQUE_EVENT,n_JUV,n_AD,n_TOTAL,Species
HS200205-JS02,0,0,0,PINK
HS200205-JS03,0,0,0,PINK
HS200205-JS04,0,0,0,PINK
HS200205-JS05,0,0,0,PINK
HS200205-QCS01,0,0,0,PINK
HS200205-T01,0,0,0,PINK
HS200205-T02,0,0,0,PINK
HS200205-T03,0,0,0,PINK
HS200205-T04,0,0,0,PINK
HS200205-T05,0,0,0,PINK
HS200205-T06,0,0,0,PINK
HS200205-T07,0,0,0,PINK
HS200205-T08,0,0,0,PINK
HS200205-T09,0,0,0,PINK
HS200205-T10,0,0,0,PINK
HS200205-T11,0,0,0,PINK
HS200205-T12,0,0,0,PINK
HS200205-VI01,0,0,0,PINK
HS200205-VI02,0,0,0,PINK
HS200205-VI03,0,0,0,PINK
HS200205-VI04,0,0,0,PINK
HS200205-VI05,0,0,0,PINK
HS200205-VI06,0,0,0,PINK
HS200205-VI07,0,0,0,PINK
HS200205-VI08,0,0,0,PINK
HS200215-H06,0,0,0,PINK
HS200215-H07,0,0,0,PINK
HS200215-HS01,0,0,0,PINK
HS200215-HS02,0,0,0,PINK
HS200215-IBC01,0,0,0,PINK
HS200215-IBC02,0,0,0,PINK
HS200215-IBC03,0,0,0,PINK
HS200215-IBC04,0,0,0,PINK
HS200215-IBC05,0,0,0,PINK
HS200215-IBC06,391,0,391,PINK
HS200215-IBC07,0,0,0,PINK
HS200215-IBC08,0,0,0,PINK
HS200215-D05,0,102,102,PINK
HS200215-D06,0,3,3,PINK
HS200215-D07,0,19,19,PINK
HS200215-D08,0,3,3,PINK
HS200215-D09,0,15,15,PINK
HS200215-D10,0,4,4,PINK
HS200215-D11,0,23,23,PINK
HS200215-D12,0,0,0,PINK
HS200215-D13,0,0,0,PINK
HS200215-DE01,0,1,1,PINK
HS200215-DE02,0,0,0,PINK
HS200215-DE03,0,0,0,PINK
HS200215-DE04,0,8,8,PINK
HS200215-DE05,0,0,0,PINK
HS200215-DE06,0,9,9,PINK
HS200215-DE07,0,22,22,PINK
HS200215-EP01,0,0,0,PINK
HS200215-EP02,0,0,0,PINK
HS200215-EP03,0,0,0,PINK
HS200215-EP04,0,0,0,PINK
HS200215-EP05,0,0,0,PINK
HS200215-EP06,0,3,3,PINK
HS200215-EP07,0,0,0,PINK
HS200215-EP08,0,0,0,PINK
HS200215-EP09,0,7,7,PINK
HS200215-EP10,0,0,0,PINK
HS200215-EP11,0,0,0,PINK
HS200215-H01,0,0,0,PINK
HS200215-H02,0,0,0,PINK
HS200215-H03,0,4,4,PINK
HS200215-H04,0,0,0,PINK
HS200215-H05,0,0,0,PINK
HS200215-IBC09,0,0,0,PINK
HS200215-IBC10,0,0,0,PINK
HS200215-JF01,0,0,0,PINK
HS200215-JF02,0,0,0,PINK
HS200215-JF03,0,0,0,PINK
HS200215-QCS01,0,0,0,PINK
HS200215-RI01,0,0,0,PINK
HS200215-RI02,0,0,0,PINK
HS200215-RI03,0,0,0,PINK
HS200215-T01,3,0,3,PINK
HS200215-T02,0,0,0,PINK
HS200215-T03,0,0,0,PINK
HS200215-T04,0,0,0,PINK
HS200215-T05,0,0,0,PINK
HS200215-T06,0,0,0,PINK
HS200215-T07,0,0,0,PINK
HS200215-T08,0,1,1,PINK
HS200215-T09,0,2,2,PINK
HS200215-T10,0,0,0,PINK
HS200215-T11,0,1,1,PINK
HS200215-T12,0,1,1,PINK
HS200215-T13,0,0,0,PINK
HS200215-VI01,0,0,0,PINK
HS200235-DE02,0,97,97,PINK
HS200235-DE03,0,9,9,PINK
HS200235-DE04,164,18,182,PINK
HS200235-DE05,4,12,16,PINK
HS200235-EP01,3,0,3,PINK
HS200235-EP02,1,0,1,PINK
HS200235-EP03,12,0,12,PINK
HS200235-EP04,3,0,3,PINK
HS200235-EP05,117,0,117,PINK
HS200235-EP06,3,0,3,PINK
HS200235-EP07,3,0,3,PINK
HS200235-EP08,0,0,0,PINK
HS200235-EP09,0,0,0,PINK
HS200235-EP10,0,0,0,PINK
HS200235-EP11,0,0,0,PINK
HS200235-FI01,0,12,12,PINK
HS200235-FI02,13,1,14,PINK
HS200235-FI03,0,4,4,PINK
HS200235-FI04,0,0,0,PINK
HS200235-FI05,0,30,30,PINK
HS200235-FI06,0,0,0,PINK
HS200235-FI07,0,0,0,PINK
HS200235-FI08,0,2,2,PINK
HS200235-FI09,0,0,0,PINK
HS200235-FI10,0,1,1,PINK
HS200235-FI11,0,0,0,PINK
HS200235-FI12,0,0,0,PINK
