TRIP_ID,UNIQUE_EVENT,DATE,YEAR,MONTH,DAY,EVENT_TYPE,EVENT_CODE,USABLE,VESSEL_NAME,STRATUM,BLOCK,STATION_NAME,TOW_LENGTH_MINUTE,TOW_LENGTH_HOUR,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,VESSEL_SPEED,SPEED_UNITS,DIRECTION,START_BOTTOM_DEPTH,END_BOTTOM_DEPTH,NET_DESC,CODEND_MESH_SIZE,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,bath_depth_points_n,bath_DEPTH_mean_m,bath_DEPTH_med_m,bath_TRANSECT_dist_km,bath_DEPTH_START,bath_DEPTH_END,Dist_to_Coast_km,DISTANCE_KM,WIDTH_KM,HEIGHT_KM,MOUTH_KM2,VOLUME_KM3
201778,BCSI-201778-QCSD03,2017-09-29T00:00:00Z,2017,SEP,29,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD03,QCSD03,20,0.33,DAY,50.994,-128.098,50.997,-128.134,1.37,NM,111,NA,4.1,KNOTS,278,90,100,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,10,111.1,111.5,2.664965041,96,120,11.16395208,2.54,0.03,0.012,3.60E-04,9.14E-04
201778,BCSI-201778-QCSD04,2017-09-29T00:00:00Z,2017,SEP,29,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD04,QCSD04,20,0.33,DAY,51.034,-128.214,51.024,-128.254,1.63,NM,111,NA,4.9,KNOTS,248,148,129,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,10,141.8,145,2.968065108,152,119,20.07387188,3.02,0.03,0.012,3.60E-04,0.0010872
201778,BCSI-201778-QCSD06,2017-09-29T00:00:00Z,2017,SEP,29,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD06,QCSD06,20,0.33,DAY,51.017,-128.429,51.027,-128.462,1.38,NM,111,NA,4.1,KNOTS,300,104,101,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,9,100.5555556,101,2.508816861,104,101,24.11446365,2.56,0.03,0.012,3.60E-04,9.22E-04
201778,BCSI-201778-QCSD07,2017-09-29T00:00:00Z,2017,SEP,29,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD07,QCSD07,20,0.33,DAY,51.005,-128.523,50.996,-128.555,1.32,NM,111,NA,4,KNOTS,246,89,79,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,9,81.88888889,82,2.50979038,88,77,19.4554245,2.44,0.03,0.012,3.60E-04,8.78E-04
201778,BCSI-201778-QCSD08,2017-09-29T00:00:00Z,2017,SEP,29,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD08,QCSD08,20,0.33,DAY,50.969,-128.588,50.952,-128.607,1.25,NM,111,NA,3.7,KNOTS,215,66,60,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,5,59.6,59,2.190223317,62,57,14.20463281,2.32,0.03,0.012,3.60E-04,8.35E-04
201778,BCSI-201778-QCSD09,2017-09-30T00:00:00Z,2017,SEP,30,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD09,QCSD09,20,0.33,DAY,50.973,-128.68,50.996,-128.666,1.5,NM,111,NA,4.4,KNOTS,21,69,63,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,7,65.28571429,66,3.014759652,69,61,15.41116945,2.78,0.03,0.012,3.60E-04,0.0010008
201778,BCSI-201778-QCSD10,2017-09-30T00:00:00Z,2017,SEP,30,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD10,QCSD10,20,0.33,DAY,51.074,-128.615,51.094,-128.601,1.31,NM,111,NA,3.9,KNOTS,24,95,113,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,6,101.3333333,102,2.475648231,92,110,27.36384253,2.43,0.03,0.012,3.60E-04,8.75E-04
201778,BCSI-201778-QCSD11,2017-09-30T00:00:00Z,2017,SEP,30,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD11,QCSD11,20,0.33,DAY,51.174,-128.564,51.197,-128.566,1.38,NM,111,NA,4.1,KNOTS,357,180,195,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,7,183.7142857,185,2.779873166,167,193,39.03391619,2.56,0.03,0.012,3.60E-04,9.22E-04
201778,BCSI-201778-QCSD12,2017-09-30T00:00:00Z,2017,SEP,30,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD12,QCSD12,20,0.33,DAY,51.267,-128.537,51.288,-128.524,1.35,NM,110,NA,4.1,KNOTS,21,183,130,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,6,152.6666667,152,2.474345185,186,124,35.45452883,2.5,0.03,0.012,3.60E-04,9.00E-04
201778,BCSI-201778-QCSD13,2017-09-30T00:00:00Z,2017,SEP,30,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD13,QCSD13,20,0.33,DAY,51.346,-128.462,51.361,-128.434,1.38,NM,110,NA,4.1,KNOTS,49,162,153,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,7,152.8571429,153,2.223908859,153,150,25.46369846,2.56,0.03,0.012,3.60E-04,9.22E-04
